track_name,artist_name,genre,play_count
Shape of You,Ed Sheeran,Pop,1250000
Blinding Lights,The Weeknd,Pop,1180000
Rolling in the Deep,Adele,Pop,990000
Thunderstruck,AC/DC,Rock,870000
Bohemian Rhapsody,Queen,Rock,830000
Smells Like Teen Spirit,Nirvana,Rock,810000
Take Five,Dave Brubeck,Jazz,530000
So What,Miles Davis,Jazz,500000
Fly Me to the Moon,Frank Sinatra,Jazz,470000
Lose Yourself,Eminem,Hip-Hop,920000
Sicko Mode,Travis Scott,Hip-Hop,880000
HUMBLE.,Kendrick Lamar,Hip-Hop,860000
Billie Jean,Michael Jackson,Funk,950000
Uptown Funk,Bruno Mars,Funk,900000
Get Lucky,Daft Punk,Funk,870000
Someone Like You,Adele,Pop,950000
Enter Sandman,Metallica,Metal,720000
Back in Black,AC/DC,Metal,700000
Master of Puppets,Metallica,Metal,690000
Havana,Camila Cabello,Pop,880000
Watermelon Sugar,Harry Styles,Pop,870000
Hotel California,Eagles,Rock,840000
Dream On,Aerosmith,Rock,820000
Take the A Train,Duke Ellington,Jazz,460000
All of Me,John Legend,Soul,910000
Ain’t No Sunshine,Bill Withers,Soul,880000
Respect,Aretha Franklin,Soul,860000
No Woman No Cry,Bob Marley,Reggae,740000
Three Little Birds,Bob Marley,Reggae,720000
One Love,Bob Marley,Reggae,710000
Levitating,Dua Lipa,Pop,930000
Peaches,Justin Bieber,R&B,880000
Thinking Out Loud,Ed Sheeran,Pop,940000
Radioactive,Imagine Dragons,Rock,810000
The Less I Know The Better,Tame Impala,Indie,760000
Sweater Weather,The Neighbourhood,Indie,740000
Somebody Else,The 1975,Indie,720000
Stay,The Kid LAROI,R&B,910000
Earned It,The Weeknd,R&B,860000
Can't Feel My Face,The Weeknd,Pop,890000
Viva La Vida,Coldplay,Alternative,880000
Clocks,Coldplay,Alternative,850000
Yellow,Coldplay,Alternative,830000
Stairway to Heaven,Led Zeppelin,Rock,850000
Come Together,The Beatles,Rock,820000
Let It Be,The Beatles,Rock,810000
Imagine,John Lennon,Rock,800000
November Rain,Guns N' Roses,Rock,790000
Welcome to the Jungle,Guns N' Roses,Rock,780000
Hey Jude,The Beatles,Rock,770000
